CUs SPPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX E G F P U
10 11.2333333333 0 0.116522073746 0.888851432489 3.9750289917 0.583549976349 0.845782995224 1.25562500954 1.45607495308 0.978486646884 0.978486646884 0 0 0 0
20 11.3 0 0.475275039673 1.73376098811 9.59636116028 1.14886188507 1.53525996208 2.53190422058 3.00968313217 0.72197640118 0 0 0.72197640118 0 0
30 11.3666666667 0 0.557965040207 2.60747561916 20.5251531601 1.36719298363 2.33596801758 3.8130428791 4.7275249958 0.564516129032 0 0 0 0.564516129032 0
